ticker,name,sector
1332.T,ニッスイ,Consumer Staples
1333.T,Umios,Consumer Staples
1414.T,ショーボンドホールディングス,Industrials
1417.T,ミライト・ワン,Industrials
1605.T,INPEX,Energy
1719.T,安藤・間,Industrials
1721.T,コムシスホールディングス,Industrials
1801.T,大成建設,Industrials
1802.T,大林組,Industrials
1803.T,清水建設,Industrials
1808.T,長谷工コーポレーション,Industrials
1812.T,鹿島建設,Industrials
1820.T,西松建設,Industrials
1860.T,戸田建設,Industrials
1878.T,大東建託,Real Estate
1893.T,五洋建設,Industrials
1911.T,住友林業,Industrials
1925.T,大和ハウス工業,Industrials
1928.T,積水ハウス,Industrials
1942.T,関電工,Industrials
1944.T,きんでん,Industrials
1951.T,エクシオグループ,Industrials
1959.T,クラフティア,Industrials
1963.T,日揮ホールディングス,Industrials
1969.T,高砂熱学工業,Industrials
2002.T,日清製粉グループ本社,Consumer Staples
2127.T,日本M&Aセンターホールディングス,Industrials
2181.T,パーソルホールディングス,Industrials
2201.T,森永製菓,Consumer Staples
2206.T,江崎グリコ,Consumer Staples
2212.T,山崎製パン,Consumer Staples
2222.T,寿スピリッツ,Consumer Staples
2229.T,カルビー,Consumer Staples
2264.T,森永乳業,Consumer Staples
2267.T,ヤクルト本社,Consumer Staples
2269.T,明治ホールディングス,Consumer Staples
2282.T,日本ハム,Consumer Staples
2327.T,日鉄ソリューションズ,Information Technology
2331.T,ALSOK,Industrials
2371.T,カカクコム,Communication Services
2413.T,エムスリー,Industrials
2432.T,ディー・エヌ・エー,Communication Services
2433.T,博報堂DYホールディングス,Communication Services
2501.T,サッポロビール,Consumer Staples
2502.T,アサヒグループホールディングス,Consumer Staples
2503.T,キリンホールディングス,Consumer Staples
2531.T,宝ホールディングス,Consumer Staples
2579.T,コカ・コーラ ボトラーズジャパンホールディングス,Consumer Staples
2587.T,サントリービバレッジ&フード,Consumer Staples
2593.T,伊藤園,Consumer Staples
2607.T,不二製油,Consumer Staples
2670.T,エービーシー・マート,Consumer Discretionary
2768.T,双日,Industrials
2784.T,アルフレッサ ホールディングス,Industrials
2801.T,キッコーマン,Consumer Staples
2802.T,味の素,Consumer Staples
2809.T,キユーピー,Consumer Staples
2810.T,ハウス食品グループ本社,Consumer Staples
2811.T,カゴメ,Consumer Staples
285A.T,キオクシアホールディングス,Information Technology
2871.T,ニチレイ,Consumer Staples
2875.T,東洋水産,Consumer Staples
2897.T,日清食品ホールディングス,Consumer Staples
2914.T,日本たばこ産業,Consumer Staples
3003.T,ヒューリック,Real Estate
3038.T,神戸物産,Consumer Staples
3048.T,ビックカメラ,Consumer Discretionary
3064.T,MonotaRO,Consumer Discretionary
3086.T,J.フロント リテイリング,Consumer Discretionary
3088.T,マツキヨココカラ&カンパニー,Consumer Discretionary
3092.T,ZOZO,Consumer Discretionary
3099.T,三越伊勢丹ホールディングス,Consumer Discretionary
3105.T,日清紡ホールディングス,Information Technology
3107.T,ダイワボウホールディングス,Industrials
3116.T,トヨタ紡織,Consumer Discretionary
3132.T,マクニカホールディングス,Industrials
3197.T,すかいらーくホールディングス,Consumer Discretionary
